index	duration	f0_median	f0_mean	f0_sd	f0_mean_absolute_slope	f0_minimum	f0_maximum	pulses_number	periods_number	period_mean	period_sd	unvoiced_frames_percent	breaks_number	breaks_degree	jitter_local	jitter_absolute	jitter_rap	jitter_ppq5	jitter_ddp	shimmer_local	shimmer_db	shimmer_apq3	shimmer_apq5	shimmer_apq11	shimmer_dda	mean_autocorrelation	mean_noise_to_harmonics_ratio	mean_harmonics_to_noise_ratio	intensity_mean	intensity_sd
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_His Christian name was Gabriel, and on working days he was a young man of sound judgment, easy motions, proper dress, and general good character.	9.64000	180.74300	189.38800	43.94500	475.98816	134.48600	506.36300	960	917	0.00535	0.00087	0.4095200	27	0.4500800	0.0224000	0.000119860000000	0.0101900	0.0092500	0.0305800	0.0847800	0.8340000	0.0344200	0.0474400	0.0779300	0.1032600	0.9148710	0.1232550	14.7920000	63.385	9.225
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_On Sundays he was a man of misty views, rather given to postponing, and hampered by his best clothes and umbrella: upon the whole, one who felt himself to occupy morally that vast middle space of Laodicean neutrality which lay between the Communion people of the parish and the drunken section, , that is, he went to church, but yawned privately by the time the con- gegation reached the Nicene creed,- and thought of what there would be for dinner when he meant to be listening to the sermon.	27.40000	177.24700	181.23700	32.47200	486.24704	101.66600	490.18400	3060	2952	0.00556	0.00079	0.3350700	77	0.3954700	0.0288100	0.000160079000000	0.0132700	0.0137700	0.0398200	0.0950000	0.9250000	0.0397500	0.0542800	0.0883800	0.1192500	0.9078150	0.1327060	13.5760000	64.902	8.460
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Or, to state his character as it stood in the scale of public opinion, when his friends and critics were in tantrums, he was considered rather a bad man; when they were pleased, he was rather a good man; when they were neither, he was a man whose moral colour was a kind of pepper-and-salt mixture.	16.56000	179.81900	184.65100	36.88800	541.04644	104.78600	500.33600	1804	1747	0.00545	0.00084	0.3824900	44	0.3301000	0.0260200	0.000141722000000	0.0115400	0.0121200	0.0346100	0.0936600	0.9170000	0.0371600	0.0524000	0.0904200	0.1114700	0.9114580	0.1245140	13.8910000	64.278	9.545
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Since he lived six times as many working-days as Sundays, Oak's appearance in his old clothes was most peculiarly his own , the mental picture formed by his neighbours in imagining him being always dressed in that way.	12.32000	180.29800	186.21800	32.36000	499.87204	106.06700	492.47500	1404	1359	0.00540	0.00079	0.3453300	31	0.3198800	0.0248000	0.000133857000000	0.0111900	0.0115400	0.0335800	0.0878100	0.8500000	0.0333200	0.0479500	0.0844100	0.0999500	0.9078470	0.1365060	13.9110000	65.034	8.928
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_He wore a low-crowned felt hat, spread out at the base by tight jamming upon the head for security in high winds, and a coat like Dr. Johnson's; his lower extremities being encased in ordinary leather leggings and boots emphatically large, affording to each foot a roomy apartment so constructed that any wearer might stand in a river all day long and know nothing of damp , their maker being a conscientious man who endeavoured to compensate for any weakness in his cut by unstinted dimension and solidity.	29.32000	178.97000	182.41400	31.61500	471.34856	103.26900	497.52100	3354	3263	0.00550	0.00079	0.3230900	76	0.3200000	0.0229800	0.000126434000000	0.0098000	0.0108000	0.0293900	0.0900100	0.8950000	0.0358500	0.0511500	0.0894200	0.1075400	0.9173050	0.1148360	14.0660000	64.820	8.974
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_Mr. Oak carried about him, by way of watch,- what may be called a small silver clock; in other words, it was a watch as to shape and intention, and a small clock as to size.	10.08000	177.96500	184.23800	46.51600	644.01608	106.27900	497.31300	1044	1003	0.00545	0.00105	0.3750900	28	0.3563700	0.0251100	0.000136968000000	0.0097600	0.0115000	0.0292700	0.0975300	1.0070000	0.0378400	0.0540600	0.1020600	0.1135200	0.9018340	0.1381730	12.7950000	65.025	8.561
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_This instrument being several years older than Oak's grandfather, had the peculiarity of going either too fast or not at all.	7.44000	171.91000	181.04200	29.69100	394.23970	110.35400	481.00000	812	793	0.00553	0.00080	0.3427700	17	0.3312200	0.0194600	0.000107657000000	0.0085700	0.0087300	0.0257000	0.0872400	0.8720000	0.0347000	0.0474000	0.0796400	0.1040900	0.9266950	0.1017170	14.9020000	65.217	8.771
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_The smaller of its hands, too, occasionally slipped round on the pivot, and thus, though the minutes were told with precision, nobody could be quite certain of the hour they belonged to.	9.64000	176.11300	180.59200	25.72900	511.23759	109.59200	418.88200	988	958	0.00554	0.00071	0.3791000	26	0.3385400	0.0259200	0.000143676000000	0.0105900	0.0119700	0.0317700	0.0928200	0.8840000	0.0355400	0.0507700	0.0896500	0.1066100	0.9141820	0.1179230	13.7780000	64.738	9.487
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_The stopping peculiarity of his watch Oak remedied by thumps and shakes, and he escaped any evil consequences from the other two defects by constant comparisons with and observations of the sun and stars, and by pressing his face close to the glass of his neighbours' windows, till he could discern the hour marked by the green-faced timekeepers within.	19.84000	177.96000	181.75300	37.06700	546.57428	100.62500	496.37700	2187	2107	0.00551	0.00100	0.3607100	66	0.4100600	0.0281100	0.000154923000000	0.0120500	0.0134100	0.0361600	0.1001200	1.0230000	0.0388700	0.0547900	0.0998500	0.1166000	0.8949340	0.1544950	13.0930000	64.938	8.668
far_from_the_madding_crowd_01_-_description_of_farmer_oak--an_incident_It may be mentioned that Oak's fob being difficult of access, by reason of its somewhat high situation in the waistband of his trousers (which also lay at a remote height under his waistcoat), the watch was as a necessity pulled out by throwing the body to one side, compressing the mouth and face to a mere mass of ruddy flesh on account of the exertion, and drawing up the watch by its chain, like a bucket from a well.	24.00000	177.64800	184.99600	38.73400	474.83180	107.26000	497.08400	2720	2632	0.00542	0.00088	0.3415700	66	0.3990700	0.0252500	0.000136846000000	0.0110700	0.0116900	0.0332200	0.0918200	0.9190000	0.0342400	0.0492500	0.0886500	0.1027200	0.9105110	0.1245330	13.8020000	65.416	8.547
